TAG,DESCRICAO,Min,Max,UNIDADE,LL,L,H,HH
I722TT3002,TEMP ÁGUA SAÍDA ECONOMIZADOR LADO ESQUERDO,50,400,°C,,,,
I722TT3004,TEMP ÁGUA SAÍDA ECONOMIZADOR LADO DIREITO,50,400,°C,,,,
I722TT3338,TEMP VAPOR SAÍDA EVAPORADOR LADO ESQUERDO,50,600,°C,,,395,430
I722TT3341,TEMP VAPOR APÓS ATEMP EMERG LADO ESQUERDO,50,600,°C,,,,
I722TT3345,TEMP VAPOR SAÍDA EVAPORADOR LADO DIREITO,50,600,°C,,,395,430
I722TT3347,TEMP VAPOR SAÍDA EVAPORADOR LADO DIREITO,50,600,°C,,,395,430
I722TT3350,TEMP VAPOR APÓS ATEMP EMERGENCIA LADO DIREITO,50,600,°C,,,,
I722TT3361,TEMP METAL PAREDE INTERNA VASO SEPARADOR,50,600,°C,,,,
I722TT3362,TEMP METAL PAREDE EXTERNA VASO SEPARADOR,50,600,°C,,,,
I722TT3382,TEMP VAPOR SAÍDA SEPARADOR LADO ESQUERDO,50,600,°C,,,,
I722TT3390,TEMPERATURA VAPOR SAÍDA SH1A LD CALDEIRA,50,600,°C,,,,
I722TT3391,TEMPERATURA VAPOR SAÍDA SH1A LE CALDEIRA,50,600,°C,,,,
I722TT3409,TEMP VAPOR SAÍDA SH1F LADO ESQUERDO,50,600,°C,,,,
I722TT3410,TEMP VAPOR SH SAÍDA BIFLUXO LADO ESQUERDO,50,600,°C,,,,
I722TT3411,TEMP VAPOR SAÍDA SH1F LADO DIREITO,50,600,°C,,,,
I722TT3412,TEMP VAPOR SH SAÍDA BIFLUXO LADO DIREITO,50,600,°C,,,,
I722TT3414,TEMP VAPOR APÓS ATEMPERAÇÃO SH2 LADO DIREITO,50,600,°C,,,,
I722TT3417,TEMP VAPOR APÓS  ATEMPERAÇÃO SH2 LADO ESQUERDO,50,600,°C,,,,
I722TT3420,TEMP VAPOR SAÍDA SH2 LADO ESQUERDO,50,600,°C,,,500,
I722TT3423,TEMP VAPOR SAÍDA SH2 LADO DIREITO,50,600,°C,,,500,
I722TT3426,TEMP VAPOR APÓS  ATEMPERAÇÃO SH3 LADO ESQUERDO,50,600,°C,,,,
I722TT3429,TEMP VAPOR APÓS  ATEMPERAÇÃO SH3 LADO DIREITO,50,600,°C,,,,
I722TT3533,TEMP VAPOR ENTRADA RH1 LADO ESQUERDO,50,600,°C,,,450,
I722TT3536,TEMP VAPOR ENTRADA RH1 LADO DIREITO,50,600,°C,,,450,
I722TT3539,TEMP VAPOR SAÍDA RH1 LADO ESQUERDO,50,600,°C,,,510,
I722TT3546,TEMP VAPOR SAÍDA RH1 LADO DIREITO,50,600,°C,,,510,
I722TT3555,TEMP VAPOR APÓS  ATEMPERAÇÃO RH2 LADO ESQUERDO,50,600,°C,,,,
I722TT3558,TEMP VAPOR APÓS  ATEMPERAÇÃO RH2 LADO DIREITO,50,600,°C,,,,
I723AT1001,TEOR PARTICULADO SAÍDA PRECIPITADOR ELETROSTÁTICO 1,0,500,mg/m3,,,200,500
I723AT1002,TEOR PARTICULADO SAÍDA PRECIPITADOR ELETROSTÁTICO 2,0,500,mg/m3,,,200,500
I723AT3203,TEOR 02 GASES SAÍDA CALDEIRA LADO ESQUERDO,0,10,%,,"2,5",,
I723AT3205,TEOR C02 GASES SAÍDA CALDEIRA LADO ESQUERDO,0,20,%,,,16,
I723AT3207,TEOR CO GASES SAÍDA CALDEIRA LADO ESQUERDO,0,500,ppm,,,100,
I723AT3213,TEOR 02 GASES SAÍDA CALDEIRA LADO ESQUERDO,0,10,%,,"2,5",,
